"","stock","year","Amsy","A0","Pmsy","P0","Ptmsy","Pt0","ABImsy","ABI0","SSB","F","R"
"1","had.27.6b",1991,6,6,0.143403821667531,0.367858438455042,0.00876263385160464,0.00876263385160464,0.0611046048125551,0.023820668321234,7314.84882985183,0.735,109360
"2","had.27.6b",1992,6,6,0.143403821667531,0.367858438455042,0.00633138898420012,0.00633138898420012,0.0441507688608109,0.0172114822505938,8964.53711936535,0.8375,109018
"3","had.27.6b",1993,6,6,0.143403821667531,0.367858438455042,0.00536717614239126,0.00536717614239126,0.0374270091269574,0.0145903303589628,11937.3854142043,0.6385,122000
"4","had.27.6b",1994,6,6,0.143403821667531,0.367858438455042,0.00262217537725906,0.00262217537725906,0.0182852545125215,0.00712821863832145,13962.0927055395,0.607,68239
"5","had.27.6b",1995,6,6,0.143403821667531,0.367858438455042,0.00211265988472225,0.00211265988472225,0.0147322425591995,0.00574313285728921,18138.636418449,0.6215,61263
"6","had.27.6b",1996,6,6,0.143403821667531,0.367858438455042,0.00175458807057343,0.00175458807057343,0.0122352950581839,0.00476973717917815,17183.9018592283,0.5805,62421
"7","had.27.6b",1997,6,6,0.143403821667531,0.367858438455042,0.00358813007779669,0.00358813007779669,0.025021160775725,0.00975410566321756,15882.5223747906,0.40475,71666
"8","had.27.6b",1998,6,6,0.143403821667531,0.367858438455042,0.0257433239174117,0.0257433239174117,0.17951630310868,0.0699816049498017,13535.66723827,0.59475,71678
"9","had.27.6b",1999,6,6,0.143403821667531,0.367858438455042,0.0420285945508497,0.0420285945508497,0.293078622746116,0.114252087643726,6344.67023699542,0.871,48438
"10","had.27.6b",2000,6,6,0.143403821667531,0.367858438455042,0.0512004728872199,0.0512004728872199,0.357037018203905,0.139185261325675,2705.91572658879,1.12875,28113
"11","had.27.6b",2001,6,6,0.143403821667531,0.367858438455042,0.0261781744167841,0.0261781744167841,0.182548652555967,0.0711637186487526,4225.31691244201,0.42225,77850
"12","had.27.6b",2002,6,6,0.143403821667531,0.367858438455042,0.0107021597965428,0.0107021597965428,0.0746295298974302,0.0290931474658852,4588.93346199656,0.4895,103304
"13","had.27.6b",2003,6,6,0.143403821667531,0.367858438455042,0.00956486595716018,0.00956486595716018,0.0666988218719543,0.0260014857816811,8856.79275052472,0.70375,46702
"14","had.27.6b",2004,6,6,0.143403821667531,0.367858438455042,0.00937897472764475,0.00937897472764475,0.0654025437996279,0.025496152180266,11338.5217236148,0.6905,14155
"15","had.27.6b",2005,6,6,0.143403821667531,0.367858438455042,0.0131959829875317,0.0131959829875317,0.0920197442026714,0.0358724487684805,13067.5958689388,0.40825,14462
"16","had.27.6b",2006,6,6,0.143403821667531,0.367858438455042,0.0289835133337919,0.0289835133337919,0.202111164101244,0.0787898558356278,11577.8600750461,0.2735,87139
"17","had.27.6b",2007,6,6,0.143403821667531,0.367858438455042,0.0265800477585793,0.0265800477585793,0.185351041900423,0.0722561860214818,8697.81914754271,0.537,13054
"18","had.27.6b",2008,6,6,0.143403821667531,0.367858438455042,0.0579333381744245,0.0579333381744245,0.403987407732673,0.157488131624048,16515.254422375,0.508,4312
"19","had.27.6b",2009,6,6,0.143403821667531,0.367858438455042,0.0195687304312696,0.0195687304312696,0.136458918623786,0.0531963613868849,10357.3131348502,0.38475,1564
"20","had.27.6b",2010,6,6,0.143403821667531,0.367858438455042,0.0245925925925926,0.0245925925925926,0.171491891266387,0.0668534143076296,8361.6028787221,0.79025,1588
"21","had.27.6b",2011,6,6,0.143403821667531,0.367858438455042,0.0670436788451522,0.0670436788451522,0.467516681672451,0.182254019037125,6726.01830043667,0.23425,340
"22","had.27.6b",2012,6,6,0.143403821667531,0.367858438455042,0.763781861292235,0.763781861292235,5.32609139987212,2.07629289272259,9121.2540017006,0.12875,1355
"23","had.27.6b",2013,6,6,0.143403821667531,0.367858438455042,0.422774225282833,0.422774225282833,2.9481377857767,1.14928510831077,2150.98471162975,0.324,34615
"24","had.27.6b",2014,6,6,0.143403821667531,0.367858438455042,0.050818873440018,0.050818873440018,0.3543760051098,0.138147907258702,1272.6331884028,0.62125,26176
"25","had.27.6b",2015,6,6,0.143403821667531,0.367858438455042,0.0101683571024044,0.0101683571024044,0.070907155640376,0.0276420384567231,7781.83082612974,0.31875,13832
"26","had.27.6b",2016,6,6,0.143403821667531,0.367858438455042,0.00209352909189777,0.00209352909189777,0.0145988375173949,0.00569112700170838,12763.4300520378,0.11575,7016
"27","had.27.6b",2017,6,6,0.143403821667531,0.367858438455042,0.00367154077006577,0.00367154077006577,0.0256028097952501,0.009980852377577,16046.2886284501,0.29275,69342
"28","had.27.6b",2018,6,6,0.143403821667531,0.367858438455042,0.00419944716138635,0.00419944716138635,0.0292840672762709,0.0114159326588333,15978.0396007388,0.285,18051
"29","had.27.6b",2019,6,6,0.143403821667531,0.367858438455042,0.0423715896966926,0.0423715896966926,0.295470435892059,0.115184498348462,32808.6552802587,0.22525,24499
"30","had.27.6b",2020,6,6,0.143403821667531,0.367858438455042,0.00765989358283041,0.00765989358283041,0.0534148497143205,0.0208229383428065,24123.9386168444,0.18925,14947
