"","stock","year","Amsy","A0","Pmsy","P0","Ptmsy","Pt0","ABImsy","ABI0","SSB","F","R"
"1","her.27.3a47d",1947,4,7,0.0906265496757521,0.130273125292689,0.275810396873492,0.104014719602691,3.04337302766462,0.798435743128124,5304808.98377188,0.12727555451124,34857881.4382099
"2","her.27.3a47d",1948,4,7,0.0906265496757521,0.130273125292689,0.28494925675428,0.0918516133280012,3.14421389508687,0.705069546167987,4507223.63667941,0.115195151892804,33168667.2963043
"3","her.27.3a47d",1949,4,7,0.0906265496757521,0.130273125292689,0.232762531458308,0.0850303804780555,2.56837022143176,0.652708532838336,4073143.19128402,0.139879894902828,27738943.5069157
"4","her.27.3a47d",1950,4,7,0.0906265496757521,0.130273125292689,0.199093603161795,0.0729282862491625,2.19685736546433,0.559810675343148,3817483.76437279,0.148228590746193,39631096.4716225
"5","her.27.3a47d",1951,4,7,0.0906265496757521,0.130273125292689,0.185147078193128,0.0592415848469657,2.04296730765494,0.454749087456571,3376403.01283895,0.198428381919464,38360314.0867214
"6","her.27.3a47d",1952,4,7,0.0906265496757521,0.130273125292689,0.20501723704189,0.050841082245294,2.26222048368177,0.390265314745983,3192339.97308813,0.219778228130955,38129474.5811461
"7","her.27.3a47d",1953,4,7,0.0906265496757521,0.130273125292689,0.173768694672164,0.0418673272525132,1.91741487780216,0.321381153314996,2959020.33922252,0.233636659886085,43298993.2082938
"8","her.27.3a47d",1954,4,7,0.0906265496757521,0.130273125292689,0.137590149032666,0.0395185560129489,1.51821016605997,0.303351561760427,2702262.71481201,0.280667040546798,40509210.2996309
"9","her.27.3a47d",1955,4,7,0.0906265496757521,0.130273125292689,0.118724543840657,0.0340179882217994,1.31004153049449,0.261128211558371,2711087.82754223,0.252814509340575,34330891.932669
"10","her.27.3a47d",1956,4,7,0.0906265496757521,0.130273125292689,0.11747555803028,0.036411447509073,1.29625985376901,0.2795008366251,2625706.68298251,0.249968577202154,25331383.0536063
"11","her.27.3a47d",1957,4,7,0.0906265496757521,0.130273125292689,0.144908265673454,0.0383492803163296,1.5989604171395,0.294375990674739,2376134.89673887,0.270010534605061,57963495.1901109
"12","her.27.3a47d",1958,4,7,0.0906265496757521,0.130273125292689,0.097282631998621,0.0207685860752883,1.07344516972877,0.159423411610237,2019640.19625801,0.248912026967257,24750757.226277
"13","her.27.3a47d",1959,4,7,0.0906265496757521,0.130273125292689,0.103923507393191,0.0308083705877729,1.14672254173875,0.236490607856032,2921352.14184777,0.299571469425242,28494509.3567635
"14","her.27.3a47d",1960,4,7,0.0906265496757521,0.130273125292689,0.100315518060737,0.0316380728667151,1.10691092642995,0.242859552157307,2512220.33953038,0.245845721494863,12367216.2030918
"15","her.27.3a47d",1961,4,7,0.0906265496757521,0.130273125292689,0.113460607684269,0.0369119990862272,1.25195771096013,0.283343160788504,2537990.08133495,0.273882813424474,53361602.2911592
"16","her.27.3a47d",1962,4,7,0.0906265496757521,0.130273125292689,0.152665935351967,0.0179638452317012,1.68456082569824,0.137893715156839,1770622.55272686,0.31584575208686,28315663.0134737
"17","her.27.3a47d",1963,4,7,0.0906265496757521,0.130273125292689,0.108718388166286,0.0197706169226312,1.19963066623703,0.151762820445214,2790588.74680319,0.18777275057094,34500366.8791462
"18","her.27.3a47d",1964,4,7,0.0906265496757521,0.130273125292689,0.0955260753798407,0.0156863851342504,1.05406280744019,0.120411520787633,2514251.5837818,0.293579452558287,34525401.0307381
"19","her.27.3a47d",1965,4,7,0.0906265496757521,0.130273125292689,0.0736456612508462,0.0403664085927722,0.812627883488217,0.309859831044045,1993503.42477043,0.532029904935605,17044567.7255207
"20","her.27.3a47d",1966,4,7,0.0906265496757521,0.130273125292689,0.157476676016217,0.0376186179557648,1.7376439528995,0.288767294645353,1595711.87861901,0.494186269372476,18512295.7547404
"21","her.27.3a47d",1967,4,7,0.0906265496757521,0.130273125292689,0.119038690106738,0.0265937498774009,1.31350791277655,0.204138419322112,957123.820459216,0.688656015822236,25695882.3937998
"22","her.27.3a47d",1968,4,7,0.0906265496757521,0.130273125292689,0.0521081766727784,0.0087737410013625,0.574976945047709,0.0673488179672535,524139.016091483,1.0825604319756,22010621.360624
"23","her.27.3a47d",1969,4,7,0.0906265496757521,0.130273125292689,0.0375388450636401,0.00607067804981259,0.414214655616355,0.0465996193472247,479676.748290266,0.883487002864805,12613954.020851
"24","her.27.3a47d",1970,4,7,0.0906265496757521,0.130273125292689,0.0223940622862924,0.00361178977341978,0.247102668769968,0.0277247495621607,455651.39758152,0.961194569396031,22028339.8438361
"25","her.27.3a47d",1971,4,7,0.0906265496757521,0.130273125292689,0.00918681735812708,0.00123495898958781,0.101370044330233,0.00947976788622513,285725.777489695,1.4190840182999,17203785.9757846
"26","her.27.3a47d",1972,4,7,0.0906265496757521,0.130273125292689,0.00960099449489717,0.000535737308802239,0.105940196655925,0.00411241618406391,329390.645933071,0.619713236096432,12689647.3806217
"27","her.27.3a47d",1973,4,7,0.0906265496757521,0.130273125292689,0.0186241517057832,0.000459793172321404,0.205504366793369,0.00352945529853815,278903.80735024,0.94777551671562,6837978.11910127
"28","her.27.3a47d",1974,4,7,0.0906265496757521,0.130273125292689,0.0282815557638836,0.000966223283358127,0.312067003158243,0.00741690414801429,191533.941701549,0.903496793580082,10910155.4742049
"29","her.27.3a47d",1975,4,7,0.0906265496757521,0.130273125292689,0.0177033586906118,0.000829415858529132,0.195344065883029,0.00636674568653864,105793.161950058,1.18956705131894,2523736.95222364
"30","her.27.3a47d",1976,4,7,0.0906265496757521,0.130273125292689,0.0277269482690181,0.000814435852987043,0.305947300964462,0.00625175646287156,145064.122417425,0.876041814413372,3316846.48290535
"31","her.27.3a47d",1977,4,7,0.0906265496757521,0.130273125292689,0.0209225185866853,0.000887591320222062,0.230865222846317,0.00681331102042638,109640.442298349,0.331936629703664,4408473.24181721
