"","stock","year","Amsy","A0","Pmsy","P0","Ptmsy","Pt0","ABImsy","ABI0","SSB","F","R"
"1","her.27.nirs",1980,5,7,0.106079718453993,0.149506993398643,0.0466602892960411,0.00813816743040663,0.439860606495461,0.0544333562290773,15292.9799896765,0.295719536106197,177016.813753137
"2","her.27.nirs",1981,5,7,0.106079718453993,0.149506993398643,0.0436136803875272,0.0121850754319017,0.411140612203289,0.0815017087489124,13749.3992409211,0.29018718992994,194852.8622181
"3","her.27.nirs",1982,5,7,0.106079718453993,0.149506993398643,0.0638433093975024,0.0133377775637427,0.601842749282856,0.0892117302377892,13637.2631130542,0.28439363953102,207108.895677886
"4","her.27.nirs",1983,5,7,0.106079718453993,0.149506993398643,0.0432175062451763,0.0080082082085926,0.407405929003477,0.0535641044378416,14451.0592207866,0.281770543890261,158102.684055249
"5","her.27.nirs",1984,5,7,0.106079718453993,0.149506993398643,0.0395488752519549,0.0174920564563638,0.372822211713423,0.11699824910346,15468.7600171178,0.284013592767387,121540.157310619
"6","her.27.nirs",1985,5,7,0.106079718453993,0.149506993398643,0.0692860562645984,0.0152651813573438,0.653150831038904,0.102103460248452,15783.3926651406,0.291955856973675,168552.069695092
"7","her.27.nirs",1986,5,7,0.106079718453993,0.149506993398643,0.108615172573062,0.0142043579547598,1.02390140317132,0.0950079834518881,18339.8626958157,0.295608692288332,208147.033337639
"8","her.27.nirs",1987,5,7,0.106079718453993,0.149506993398643,0.124379916006957,0.0226370984256927,1.17251363238582,0.151411635744246,16526.1198880969,0.29919792960024,248699.345971715
"9","her.27.nirs",1988,5,7,0.106079718453993,0.149506993398643,0.110119133727199,0.0282204318794278,1.03807905348992,0.188756600864693,19329.1400301494,0.305354398095453,111301.721015863
"10","her.27.nirs",1989,5,7,0.106079718453993,0.149506993398643,0.0964116232268212,0.0299237822275501,0.908860097216747,0.200149715724414,14440.0583522853,0.304528506794908,140505.231227675
"11","her.27.nirs",1990,5,7,0.106079718453993,0.149506993398643,0.0770716780467154,0.0261425234893356,0.726544896328525,0.174858198235782,13946.8345817136,0.305585979607456,127899.489991206
"12","her.27.nirs",1991,5,7,0.106079718453993,0.149506993398643,0.0847975048363225,0.0190240175568863,0.799375281836738,0.127245001216505,9702.78246207296,0.304918577787936,81633.9085016098
"13","her.27.nirs",1992,5,7,0.106079718453993,0.149506993398643,0.180510924749591,0.0185672994327372,1.70165350531053,0.124190173386938,10555.8108196906,0.307591027992325,257815.631020047
"14","her.27.nirs",1993,5,7,0.106079718453993,0.149506993398643,0.112073172444617,0.0204331315809842,1.05649952769457,0.136670072191885,10540.7496332271,0.307703685131378,64601.9580704879
"15","her.27.nirs",1994,5,7,0.106079718453993,0.149506993398643,0.146481104321821,0.0560618649536118,1.38085872074925,0.374978211247479,12009.5978987191,0.309330272302824,160011.345327666
"16","her.27.nirs",1995,5,7,0.106079718453993,0.149506993398643,0.098227634447702,0.0371917701086123,0.925979403784933,0.248762745227876,11803.7517583297,0.310274201731326,149193.589498352
"17","her.27.nirs",1996,5,7,0.106079718453993,0.149506993398643,0.0724633713027866,0.031313735693554,0.683102975374262,0.209446628426669,9882.78964833497,0.312679883092737,95034.9502221114
"18","her.27.nirs",1997,5,7,0.106079718453993,0.149506993398643,0.110734056216248,0.0258709226233501,1.04387584950344,0.173041555015212,9491.02179497871,0.317189756254045,139525.128969068
"19","her.27.nirs",1998,5,7,0.106079718453993,0.149506993398643,0.0797597668825476,0.0129970847596905,0.751885167541613,0.0869329552032079,10466.7678614998,0.31808521770842,170586.878969427
"20","her.27.nirs",1999,5,7,0.106079718453993,0.149506993398643,0.0815173215290234,0.0180608360491833,0.768453411425461,0.120802616911881,9917.27773868969,0.311796099702915,84204.1932450092
"21","her.27.nirs",2000,5,7,0.106079718453993,0.149506993398643,0.0684199580930888,0.0146998833968675,0.644986233846036,0.098322379861335,9540.08435120921,0.304583122052109,87640.6315615836
"22","her.27.nirs",2001,5,7,0.106079718453993,0.149506993398643,0.0636155048228594,0.0239239882885115,0.599695264561337,0.160019192043552,7852.54950910794,0.305814507733099,125492.340020752
"23","her.27.nirs",2002,5,7,0.106079718453993,0.149506993398643,0.0778551945705162,0.0176490416118797,0.733931006842578,0.118048267914937,7914.17731976924,0.299546056164836,83283.0228449639
"24","her.27.nirs",2003,5,7,0.106079718453993,0.149506993398643,0.113873501597078,0.0150342978515533,1.07347100140038,0.100559161212386,6868.41436128385,0.294432608921731,145655.569414729
"25","her.27.nirs",2004,5,7,0.106079718453993,0.149506993398643,0.0431154691609032,0.00643260175188323,0.4064440384012,0.0430254237989487,9778.7882254318,0.282425990191657,171270.593001751
