"","stock","year","Amsy","A0","Pmsy","P0","Ptmsy","Pt0","ABImsy","ABI0","SSB","F","R"
"1","mon.27.8c9a",1980,5,12,0.0763115007169075,0.0907087456683784,0.0438311688311688,0.00162337662337662,0.574371731906691,0.0178965833053355,9825.81549122,0.225857142857143,678
"2","mon.27.8c9a",1981,5,12,0.0763115007169075,0.0907087456683784,0.0681947338511082,0.00227315779503694,0.893636387837397,0.0250599628325516,11383.36971155,0.25,1933
"3","mon.27.8c9a",1982,5,12,0.0763115007169075,0.0907087456683784,0.0806118230673832,0.00268706076891277,1.05635221834293,0.0296229514487653,12158.51176274,0.290928571428571,7350
"4","mon.27.8c9a",1983,5,12,0.0763115007169075,0.0907087456683784,0.043183023872679,0.00159151193633952,0.565878320659359,0.0175452975852838,10649.6678,0.372,1946
"5","mon.27.8c9a",1984,5,12,0.0763115007169075,0.0907087456683784,0.0601796005897333,0.00201045436268597,0.788604601198728,0.0221638426137649,8766.2022089,0.395071428571429,774
"6","mon.27.8c9a",1985,5,12,0.0763115007169075,0.0907087456683784,0.0627214002917274,0.00312565117732861,0.821912813959783,0.0344581016339446,8453.39895909,0.4305,1829
"7","mon.27.8c9a",1986,5,12,0.0763115007169075,0.0907087456683784,0.0411663807890223,0.00343053173241852,0.53945185722054,0.0378191949093882,7950.5907116,0.646,6525
"8","mon.27.8c9a",1987,5,12,0.0763115007169075,0.0907087456683784,0.0139804800844104,0.0015826958586125,0.183202793197238,0.0174481065408916,4821.38178104,0.7715,3708
"9","mon.27.8c9a",1988,5,12,0.0763115007169075,0.0907087456683784,0.0145255863539446,0.00106609808102345,0.190345966433422,0.0117529800811158,3085.96304634,1.16542857142857,1078
"10","mon.27.8c9a",1989,5,12,0.0763115007169075,0.0907087456683784,0.0058671673316123,0.000938746773057968,0.0768844443693711,0.0103490216532144,2454.14964598,0.919857142857143,3332
"11","mon.27.8c9a",1990,5,12,0.0763115007169075,0.0907087456683784,0.00146719765248376,0.000419199329281073,0.0192264290270822,0.00462137720230001,2364.59958778,0.689642857142857,2233
"12","mon.27.8c9a",1991,5,12,0.0763115007169075,0.0907087456683784,0.00157515751575158,0.000225022502250225,0.0206411550153486,0.00248071451757126,2161.52126721,0.730071428571429,1064
"13","mon.27.8c9a",1992,5,12,0.0763115007169075,0.0907087456683784,0.00978535353535354,0,0.128229080065588,0,2074.26582854,0.759571428571429,1321
"14","mon.27.8c9a",1993,5,12,0.0763115007169075,0.0907087456683784,0.0108128262490679,0,0.14169327227858,0,1973.38642497,0.561214285714286,1699
"15","mon.27.8c9a",1994,5,12,0.0763115007169075,0.0907087456683784,0.0066203243958954,0,0.086753953646578,0,2107.43087287,0.420357142857143,3127
"16","mon.27.8c9a",1995,5,12,0.0763115007169075,0.0907087456683784,0.0113563316905935,0,0.148815467968872,0,2377.93101349,0.268857142857143,1821
"17","mon.27.8c9a",1996,5,12,0.0763115007169075,0.0907087456683784,0.0176100628930818,0,0.230765516699898,0,3286.90046596,0.314142857142857,335
"18","mon.27.8c9a",1997,5,12,0.0763115007169075,0.0907087456683784,0.027639751552795,0,0.362196409363382,0,4367.13673557,0.375857142857143,282
"19","mon.27.8c9a",1998,5,12,0.0763115007169075,0.0907087456683784,0.0539730134932534,0,0.707272337540273,0,4763.38601211,0.319357142857143,224
"20","mon.27.8c9a",1999,5,12,0.0763115007169075,0.0907087456683784,0.10546282245827,0,1.38200430429884,0,4633.6810267,0.244142857142857,742
"21","mon.27.8c9a",2000,5,12,0.0763115007169075,0.0907087456683784,0.168147641831852,0,2.20343775515081,0,4272.98547474,0.205071428571429,646
"22","mon.27.8c9a",2001,5,12,0.0763115007169075,0.0907087456683784,0.171176840780365,0,2.24313293766007,0,4097.79007342,0.138785714285714,3714
"23","mon.27.8c9a",2002,5,12,0.0763115007169075,0.0907087456683784,0.0484807864164433,0.000223413762287757,0.635301179520663,0.00246297929313822,4184.31184841,0.153857142857143,1619
"24","mon.27.8c9a",2003,5,12,0.0763115007169075,0.0907087456683784,0.0382192356152877,0.000629987400251995,0.500831922531172,0.00694516714579168,4793.71062608,0.236642857142857,348
"25","mon.27.8c9a",2004,5,12,0.0763115007169075,0.0907087456683784,0.0401146131805158,0.00114613180515759,0.525669300218965,0.0126352954912168,5913.1478352,0.266285714285714,2167
"26","mon.27.8c9a",2005,5,12,0.0763115007169075,0.0907087456683784,0.0395256916996047,0.00148221343873518,0.517951964360301,0.0163403586700889,6881.05385827,0.300357142857143,1370
"27","mon.27.8c9a",2006,5,12,0.0763115007169075,0.0907087456683784,0.0382113821138211,0.0024390243902439,0.500729008797426,0.026888525161187,6569.55393235,0.27,1284
"28","mon.27.8c9a",2007,5,12,0.0763115007169075,0.0907087456683784,0.0936329588014981,0.00489772399884759,1.22698358598461,0.0539939557399808,6363.23242395,0.219357142857143,713
"29","mon.27.8c9a",2008,5,12,0.0763115007169075,0.0907087456683784,0.102249488752556,0.00613496932515337,1.33989618592184,0.0676337135956237,6634.23010713,0.202,777
"30","mon.27.8c9a",2009,5,12,0.0763115007169075,0.0907087456683784,0.0808851583365128,0.00572300648607402,1.05993405419417,0.0630921135983594,7000.04057078,0.197714285714286,879
"31","mon.27.8c9a",2010,5,12,0.0763115007169075,0.0907087456683784,0.125848981222533,0.00519376747902517,1.64914829403493,0.0572576264918604,7168.82377163,0.147071428571429,1513
"32","mon.27.8c9a",2011,5,12,0.0763115007169075,0.0907087456683784,0.110188438198659,0.00351325455126158,1.44392964577416,0.0387311556936932,7452.07514627,0.104214285714286,1177
"33","mon.27.8c9a",2012,5,12,0.0763115007169075,0.0907087456683784,0.119539551357733,0.0038370720188902,1.56646835974552,0.0423010150853384,8224.31257283,0.110928571428571,530
"34","mon.27.8c9a",2013,5,12,0.0763115007169075,0.0907087456683784,0.131516986209216,0.00470904809956273,1.7234228782514,0.0519139369072362,9208.68638073,0.110285714285714,818
"35","mon.27.8c9a",2014,5,12,0.0763115007169075,0.0907087456683784,0.13891761461565,0.00965184419165805,1.8204020797729,0.106404780713694,10316.8720687,0.134571428571429,1559
"36","mon.27.8c9a",2015,5,12,0.0763115007169075,0.0907087456683784,0.122526193247963,0.00844004656577416,1.60560586670282,0.0930455658226173,10611.04310333,0.120428571428571,247
"37","mon.27.8c9a",2016,5,12,0.0763115007169075,0.0907087456683784,0.196655761541258,0.00872410032715376,2.57701342122455,0.0961770583737113,10975.23764037,0.124142857142857,214
"38","mon.27.8c9a",2017,5,12,0.0763115007169075,0.0907087456683784,0.262180974477958,0.017169373549884,3.43566791394354,0.189280244406128,11305.00916698,0.101285714285714,202
"39","mon.27.8c9a",2018,5,12,0.0763115007169075,0.0907087456683784,0.283915283342873,0.025186033199771,3.72047831159962,0.277658267835039,11813.4245442,0.0825714285714286,403
"40","mon.27.8c9a",2019,5,12,0.0763115007169075,0.0907087456683784,0.311585365853659,0.0310975609756098,4.08307218343858,0.342828695805134,11930.91258277,0.0732857142857143,1053
"41","mon.27.8c9a",2020,5,12,0.0763115007169075,0.0907087456683784,0.315137614678899,0.0243119266055046,4.12962150813891,0.268021858602107,11820.71365469,0.0658571428571429,539
